Location,Type,Pi�ces,Salles de bains,Surface,Prix
Dar Bouazza, Casablanca,Villa,3,2,421,4800000
Tamaris, Casablanca,Terrain,0,0,310,1767000
Guéliz, Marrakech,Appartement,2,1,85,1150000
Casablanca Finance City, Casablanca,Appartement,2,2,98,1800000
Polo, Casablanca,Villa,4,3,407,5500000
Skhirat, Skhirat,Ferme,10,,10,7500000
Abdelmoumen, Casablanca,Studio,1,0,73,1320000
Bourgogne, Casablanca,Appartement,3,2,122,2960000
Abdelmoumen, Casablanca,Studio,1,0,61,1400000
Quartier des Hôpitaux, Casablanca,Appartement,4,3,235,2820000
Ain Diab, Casablanca,Villa,4,4,1,13000000
Hay Houda, Agadir,Appartement,1,1,96,850000
Casa Green Town, Bouskoura,Appartement,3,2,620,4600000
2 Mars, Casablanca,Appartement,4,3,205,2800000
Hay Izdihar, Marrakech,Appartement,2,2,85,1147500
Bouskoura, Casablanca,Villa,3,2,487,7300000
Bouskoura, Casablanca,Villa,4,3,640,8500000
Ain Diab, Casablanca,Villa,5,3,1,29500000
Labissa, Bouskoura,Villa,5,5,8,14500000
Casa Green Town, Bouskoura,Villa,4,3,320,6000000
Les Princesses, Casablanca,Appartement,2,2,68,1350000
Centre ville, Tanger,Appartement,3,1,128,1800000
Dar Bouazza, Casablanca,Villa,4,4,576,5500000
Laymoune, Casablanca,Villa,7,5,500,7500000
Corniche, Tanger,Appartement,2,2,107,2100000
Malabata, Tanger,Appartement,2,2,65,1150000
Boulevard Mohammed VI, Marrakech,Villa,5,5,500,4500000
Bourgogne, Casablanca,Appartement,3,3,149,1560000
Centre Ville, Agadir,Appartement,2,1,97,2400000
Racine, Casablanca,Appartement,3,2,139,2400000
Quartier Agdal Haut, Rabat,Appartement,3,2,182,3200000
Route d'Ourika, Marrakech,Villa,6,3,4,4200000
Californie, Casablanca,Villa,7,7,1,36500000
Californie, Casablanca,Villa,4,3,1,14000000
Marshan, Tanger,Appartement,3,2,150,2280000
