Marque;Modèle;Année-Modèle;Kilométrage;Type de carburant;Puissance fiscale;Boite de vitesses;Première main;État;Prix
Volkswagen;GOLF 4;1999;30 000 - 34 999;Diesel;8;Manuelle;Non;;68000
Peugeot;Bipper;2013;200 000 - 249 999;Diesel;6;Manuelle;Non;Excellent;67000
Mercedes-Benz;220;2002;200 000 - 249 999;Diesel;8;Manuelle;Non;Très bon;85000
Renault;Kangoo;2005;200 000 - 249 999;Diesel;7;Manuelle;Oui;Très bon;62000
Alfa Romeo;Giulietta;2013;250 000 - 299 999;Diesel;6;Manuelle;Non;;100000
Hyundai;Tucson;2007;180 000 - 189 999;Diesel;8;Manuelle;Non;Excellent;75000
Mercedes-Benz;250;1999;190 000 - 199 999;Diesel;9;Automatique;Oui;Excellent;73000
Peugeot;108;2018;50 000 - 54 999;Essence;6;Manuelle;;Excellent;87000
Peugeot;308;2017;100 000 - 109 999;Diesel;6;Manuelle;Non;Excellent;138000
Ford;Focus;2013;150 000 - 159 999;Diesel;6;Manuelle;Non;Excellent;119000
Volkswagen;Touareg;2020;110 000 - 119 999;Diesel;12;--;;;530000
Dacia;Duster;2018;65 000 - 69 999;Diesel;6;Manuelle;;Excellent;146000
BMW;Serie 7;2016;170 000 - 179 999;Diesel;12;Automatique;Oui;;425000
Audi;Q2;2018;85 000 - 89 999;Diesel;8;Automatique;Oui;Excellent;290000
Peugeot;Tepee;2015;180 000 - 189 999;Diesel;6;Manuelle;Non;Bon;105000
Fiat;FIORINO;2018;100 000 - 109 999;Diesel;5;Manuelle;Oui;Excellent;98000
Dacia;Duster;2013;170 000 - 179 999;Diesel;6;Manuelle;Non;Excellent;125000
Citroen;Berlingo;2012;190 000 - 199 999;Diesel;6;Manuelle;Non;Excellent;90000
Dacia;Sandero;2011;200 000 - 249 999;Diesel;6;Manuelle;Non;Très bon;67000
Fiat;TIPO;2018;60 000 - 64 999;Diesel;5;Manuelle;Non;Excellent;110000
Volkswagen;Passat;2004;250 000 - 299 999;Diesel;8;Manuelle;Oui;Très bon;60000
Mercedes-Benz;190;1991;0 - 4 999;Diesel;8;Manuelle;Non;Pour Pièces;66000
Audi;A3;2017;90 000 - 94 999;Diesel;8;Automatique;Oui;Très bon;260000
Audi;A6;2007;25 000 - 29 999;Diesel;6;Automatique;;Excellent;75000
Peugeot;301;2013;200 000 - 249 999;Essence;7;Manuelle;Non;Très bon;60000
Volkswagen;Touran;2017;180 000 - 189 999;Diesel;8;Automatique;Non;Excellent;240000
Fiat;Doblo;2013;180 000 - 189 999;Diesel;5;Manuelle;Non;Bon;68000
Hyundai;Accent;2020;150 000 - 159 999;Diesel;6;Automatique;Oui;Bon;140000
Mercedes-Benz;190;1992;5 000 - 9 999;Diesel;9;--;Non;Excellent;60000
Kia;Sorento;2008;200 000 - 249 999;Diesel;8;Manuelle;Non;Très bon;78000
Peugeot;407;2006;200 000 - 249 999;Diesel;8;Automatique;Non;Très bon;74000
